name,url,done
Schronisko na Paluchu,https://napaluchu.waw.pl/,false
Fundacja Azylu pod Psim Aniołem,https://www.psianiol.org.pl/,false
Ochota na Kota,https://napaluchu.waw.pl/promocja/ochota-na-kota-2/,false
Tylko Przyjaciele Zwierząt,https://viva.org.pl/tylko-przyjaciele-zwierzat/,false
Schronisko w Celestynowie,https://celestyniaki.pl/,false
Schronisko w Korabiewicach,https://schronisko.info.pl/,false
Schronisko w Milanówku,https://schroniskomilanowek.pl/,false
Schronisko w Nowym Dworze Mazowieckim,https://www.fundacjapsom.pl/,false
Fundacja dla Szczeniąt Judyta,https://fundacjajudyta.com/,false
Schronisko w Płocku,https://www.schronisko.pgkplock.pl/,false
Stowarzyszenie Płock Przyjazny Psom,https://www.ratujemyzwierzaki.pl/wolontariatschroniskoplock,false
Stowarzyszenie Pomiechowskie Bezdomniaki,https://www.ratujemyzwierzaki.pl/spb,false
Schronisko Bąkówka,http://www.schroniskobakowka.pl/,false
Schronisko w Pawłowie,https://schronisko.pukciechanow.pl/,false
Schronisko w Radomiu,https://schronisko.radom.pl/,false
Schronisko w Żyrardowie,https://www.schronisko.zyrardow.pl/,false
Fundacja Zwierząt Skrzywdzonych Zielony Pies,https://www.ratujemyzwierzaki.pl/zielonypies,false
Stowarzyszenie Bezdomne Serduszka,https://www.ratujemyzwierzaki.pl/bezdomneserduszka,false
Fundacja Hakuna Matata,https://www.ratujemyzwierzaki.pl/hakunamatata,false
Fundacja Złap Dom,http://zlapdom.pl/,false
Fundacja Trop Warszawa,https://www.ratujemyzwierzaki.pl/tropwarszawa,false
Fundacja Opieki i Rozwoju Humanitares,https://humanitares.org/,false
Interwencyjne Centrum Pomocy Kotom,http://centruminterwencyjne.pl,false
Towarzystwo Pomocy Kotom ProFelis,https://tpkprofelis.pl/,false
Bezdomniaki,https://www.bezdomniakizabiowolskie.pl/,false
Schronisko dla Zwierząt w Poznaniu,https://schronisko.com/,false
Schronisko w Skałowie,https://schronisko-skalowo.pl/,false
Przytulisko u Wandy,https://przytuliskauwandy.pl/,false
Fundacja Dr Lucy,https://fundacjadrlucy.pl/,false
Schronisko w Gnieźnie,https://urbis.gniezno.pl/schronisko/,false
Schronisko w Krotoszynie,https://www.schroniskokrotoszyn.pl/,false
Schronisko w Koninie,https://www.schroniskokonin.pl/,false
Schronisko w Pile Miluszków,https://schronisko.pila.pl/,false
Schronisko Azorek w Obornikach,https://www.facebook.com/p/Schronisko-Azorek-w-Obornikach-100069403466317/,false
Schronisko w Jędrzejewie,https://www.sioz.pl/Shelter?ShelterID=c07b2b18-a6b4-46bc-9cb5-d33660a36a55,false
Schronisko w Ostrowie Wielkopolskim,https://schroniskoostrow.pl/,false
Schronisko we Wrześni,https://psi-jaciel.pl/,false
OTOZ Animals Schronisko w Sompolnie,https://otoz.pl/adopcje-zwierzat-sompolno/,false
Przystań dla Zwierząt,https://przystanekschronisko.org/,false
Schronisko w Lesznie Henrykowo,https://schronisko.leszno.pl/,false
Przytulisko w Wolsztynie,https://zwierzaki.wolsztyn.pl/,false
Fundacja Ochrony Zwierząt AnimaLove,https://www.animalove.eu/,false
Fundacja Sterczące Uszy,https://www.sterczaceuszy.pl/,false
Stowarzyszenie Przystanek PsyKoty,https://www.facebook.com/PrzystanekPsykoty/,false
Fundacja Pańska Łaska,https://www.fundacjapanskalaska.pl/,false
Ja Pacze Sercem,http://www.japaczesercem.pl/,false
Włochata Chata,https://wlochata-chata.pl/,false
Fundacja Benek,https://fundacjabenek.pl/,false
Schronisko w Katowicach,https://przystanekschronisko.org/,false
Schronisko Psitulmnie w Zabrzu,https://www.psitulmnie.pl/,false
Schronisko w Chorzowie,https://schroniskochorzow.pl/,false
Schronisko w Częstochowie,https://schroniskoczestochowa.pl/,false
Schronisko w Bytomiu,https://schroniskobytom.pl/,false
Schronisko w Sosnowcu,https://www.schronisko.sosnowiec.pl/,false
Schronisko w Tychach,https://schronisko.tychy.pl/,false
Schronisko w Bielsku-Białej,https://schronisko.bielsko-biala.pl/,false
Schronisko w Rybniku,https://www.schronisko.rybnik.pl/,false
Fundacja Szara Przystań,http://www.szara-przystan.pl/,false
Stowarzyszenie DoberMania,https://www.dobermania.pl/,false
Stowarzyszenie Kocimiętka,https://stowarzyszeniekocimietka.pl/,false
Rzecz Psów Północy OKIEM WILKA,https://zoodoptuj.pl/stowarzyszenie-na-rzecz-psow-polnocy-okiem-wilka,false
Fundacja Mam kota na punkcie ps,https://www.ratujemyzwierzaki.pl/mamkotanapunkciepsa,false
Fundacja Cieszyński Zwierzogród,https://cieszynskizwierzogrod.pl/,false
Schronisko w Krakowie,https://www.schronisko.krakow.pl/,false
Schronisko w Nowym Targu,https://pieski.nowytarg.pl/,false
Schronisko w Oświęcimiu,https://schronisko.oswiecim.pl/,false
Schronisko w Olkuszu,https://schroniskopsiepole.wordpress.com/,false
Azyl w Tarnowie,https://azyl.tarnow.pl/,false
Fundacja La Fauna,https://zwierzetainterwencje.pl/pl/,false
Fundacja Ostoja Cztery Łapy,https://www.ratujemyzwierzaki.pl/ostojaczterylapy,false
Stowarzyszenie Frikaj.pl,https://www.facebook.com/stowarzyszeniefrikajpl/,false
Małopolska Org. na Rzecz Natury MORN,http://www.morn.pl/,false
Schronisko w Chełmku,https://www.schroniskochelmek.pl/,false
Schronisko Psie Pole,https://schroniskopsiepole.pl/,false
Stowarzyszenie Przytul Sierściucha,https://przytulsiersciucha.pl/,false
Fundacja Lead Group,https://zoodoptuj.pl/fundacja-lead-group,false
Koci Patrol,https://kocipatrol.pl/,false
Schronisko Promyk w Gdańsku,https://schroniskopromyk.pl/,false
Schronisko w Gdyni Ciapkowo,https://ciapkowo.pl/,false
Schronisko w Tczewie,https://schroniskotczew.pl/,false
Schronisko w Dąbrówce,https://schroniskodabrowka.pl/,false
Schronisko w Słupsku,https://schronisko-slupsk.pl/,false
Schronisko w Starogardzie Gdańskim,https://schroniskostarogard.pl/,false
Schronisko w Chojnicach Przytulisko,https://przytuliskochojnice.pl/,false
Schronisko w Elblągu,https://schroniskoelblag.pl/,false
Stacja Morska w Helu,https://hel.ug.edu.pl/,false
Schronisko w Szczecinie,https://schronisko.szczecin.pl/,false
Schronisko w Kołobrzegu,http://schroniskowkolobrzegu.pl/,false
Schronisko w Świnoujściu,https://schronisko.um.swinoujscie.pl/,false
Schronisko w Kiczarowie,http://www.kiczarowo.toz.pl/,false
Schronisko w Białogardzie,,false
Schronisko w Choszcznie,https://schroniskochoszczno.pl/,false
Schronisko w Golczewie,http://schronisko-sosnowice.pl/,false
Schronisko w Dobrej,https://www.schronisko.dobraszczecinska.pl/,false
Stowarzyszenie Trzymaj Się Kocie!,https://www.trzymajsiekocie.com.pl/,false
Koty spod Bloku,https://kotyspodbloku.pl/,false
Schronisko w Łodzi,https://schronisko.uml.lodz.pl/,false
Schronisko w Wojtyszkach,https://dioz.pl/wojtyszki/,false
Schronisko Medor w Zgierzu,http://medor.endor.pl/,false
Schronisko w Pabianicach,https://schronisko-pabianice.mojbip.pl/,false
Przytulisko w Głownie,https://www.przytuliskoglowno.pl/,false
Schronisko w Bełchatowie,https://www.schroniskobelchatow.pl/,false
Schronisko w Tomaszowie Mazowieckim,https://www.tomaszow-maz.pl/zdium/schronisko-dla-zwierzat,false
Schronisko w Piotrkowie Trybunalskim,http://schronisko-piotrkow.pl/,false
Schronisko w Czartkach,https://funny-pets.pl/,false
Schronisko w Jasionce,https://adoptujpsa.com.pl/,false
Schronisko w Rytlowie,https://wieszgdziezwierz.pl/schroniska-dla-zwierzat/schronisko-rytlow-3vf,false
Schronisko w Lublinie,https://www.schronisko-zwierzaki.lublin.pl/,false
Schronisko w Nowodworze,https://www.schronisko-nowodwor.com.pl/,false
Schronisko w Puławach,https://zwierzaki.pulawy.pl/,false
Schronisko w Zamościu,https://www.zoo.zamosc.pl/page/153-schronisko-dla-psow,false
Schronisko w Chełmie,http://schroniskochelm.pl/,false
Schronisko w Krzesimowie,http://schronisko.krzesimow.prv.pl/,false
Schronisko w Białymstoku,https://www.schronisko.bialystok.pl/,false
Schronisko w Suwałkach,https://www.e-schronisko.pl/,false
Schronisko Cyganowo,https://schroniskocyganowo.wixsite.com/przytuliskocyganowo,false
Schronisko w Łomży,https://schronisko.4lomza.pl/,false
Azyl w Mikołajewie,https://bpmikolaj.pl/,false
Fundacja Tabby Burasy i Spółka,https://fundacjatabby.pl/,false
Fundacja Koty na Zakręcie,https://kotynazakrecie.pl/,false
Stowarzyszenie Amstaffy Niczyje,https://amstaffyniczyje.pl/,false
Schronisko we Wrocławiu,https://schroniskowroclaw.pl/,false
Schronisko w Wałbrzychu,https://schronisko.walbrzych.pl/,false
Schronisko w Jeleniej Górze,https://www.mpgk.jgora.pl/schronisko-dla-malych-zwierzat,false
Schronisko w Dzierżoniowie Azyl,https://dzierzoniow.pl/page/opieka-nad-zwierzetami,false
Schronisko w Dłużynie Górnej,https://schroniskodg.pl/,false
Schronisko w Legnicy,https://lpgk.eu/dzial-schronisko-dla-bezdomnych-zwierzat-w-legnicy/,false
Schronisko w Świdnicy,https://schroniskoswidnica.pl/,false
Fundacja Tara Schronisko dla Koni,https://fundacjatara.info/,false
Fundacja Centaurus Folwark,https://centaurus.org.pl/,false
Dom Tymczasowy Łatka na Łapce,https://zoodoptuj.pl/dom-tymczasowy-latka-na-lapce,false
Fundacja Kubusia Puchatka,https://fundacjakubusiapuchatka.pl/,false
Stowarzyszenie Zwierzaki Bezdomniaki,https://zwierzakibezdomniaki-homeforpets.com/,false
Schronisko w Olsztynie,https://schronisko.olsztyn.eu/,false
Schronisko w Tomarynach,https://www.facebook.com/p/Miedzygminne-Schronisko-dla-Bezdomnych-Zwierzat-w-Tomarynach-61563321908782/,false
Schronisko w Pudwągach,https://komunalnikketrzyn.pl/schronisko/,false
Schronisko w Zbożnem,https://www.pomorag.pl/schroniskomorag/index.html,false
Schronisko w Szczytnie,https://schronisko.miastoszczytno.pl/,false
Schronisko w Bagienicach Małych,https://greypet.com/pl/foundation/schronisko-dla-bezdomnych-zwierzat-moj-dom-,false
Ośrodek Rehabilitacji Ptaków Drapieżnych,https://olsztyn.olsztyn.lasy.gov.pl/osrodek-rehabilitacji-ptakow-drapieznych,false
Fundacja Albatros,https://falbatros.pl/,false
Schronisko w Zielonej Górze,https://zgora.otoz.pl/,false
Schronisko Azorki w Gorzowie Wlkp.,https://schronisko-gorzow.pl/,false
Schronisko w Żarach,https://schronisko.zgmzary.pl/,false
Fundacja 4Koty,,false
Schronisko w Opolu,https://schroniskowopolu.pl/,false
Schronisko w Kędzierzynie-Koźlu,https://schronisko.kedzierzynkozle.pl/,false
Schronisko w Nysie,https://www.nysa.eu/pl/schronisko-dla-bezdomnych-zwierzat-w-konradowej,false
Stowarzyszenie W ogrodzie Viadrusa,https://wogrodzieviadrusa.pl/,false
Schronisko w Dyminach,https://zoodoptuj.pl/schronisko-dla-bezdomnych-zwierzat-w-dyminach,false
Schronisko Dingo w Nowinach,,false
Schronisko w Bydgoszczy,https://schronisko.org.pl/,false
Schronisko w Toruniu,http://schronisko-torun.oinfo.pl/,false
Fundacja Hospicjum dla Kotów Bezdomnych,https://kociehospicjum.pl/,false
Schronisko we Włocławku,https://www.schronisko.wloclawek.eu/,false
Azyl w Lipnie,,false
Schronisko w Rzeszowie Kundelek,http://kundelek.rsoz.org/,false
Schronisko w Mielcu,https://oazadlazwierzat.mielec.pl/,false
Schronisko w Orzechowcach,http://www.schroniskoorzechowce.pl/,false
